7zip 24.09-3
mkinitcpio-busybox 1.36.1-1
mkinitcpio-numlock 1.0.3-1
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mpdecimal 4.0.0-2
mpfr 4.2.2-1
mpg123 1.32.10-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.48-1
mutter 48.1-1
nano 8.3-1
nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
nautilus 48.0-1
ncurses 6.5-3
ndctl 79-1
nemo 6.4.5-1
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.11.0-2
net-tools 2.10-3
netctl 1.29-2
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
networkmanager-openconnect 1.2.10-2
nextcloud-client 2:3.16.2-1
nfs-utils 2.8.2-2
nfsidmap 2.8.2-2
nftables 1:1.1.1-2
nilfs-utils 2.2.11-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.2.0-1
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.04.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
noto-fonts-extra 1:2025.04.01-1
npm 11.2.0-1
npth 1.8-1
nspr 4.36-1
nss 3.110-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-1
ntp 4.2.8.p18-2
numactl 2.0.19-1
nwg-look 1.0.4-1
oath-toolkit 2.6.12-1
ocl-icd 2.3.2-2
oh-my-zsh-git r7503.f81259fb3-1
